time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0,0,25,46,604,2,490.5370145,211.4633471,499.848804,379.0844192
0.029968262,0,0,28,48,606,1,490.5370145,211.4633471,499.848804,379.0844192
0.049987793,75,75,18,46,604,4,490.5370145,211.4633471,499.848804,379.0844192
0.08001709,75,75,31,46,604,0,490.5370145,211.4633471,499.848804,379.0844192
0.099975586,75,75,24,45,603,3,490.5370145,211.4633471,499.848804,379.0844192
0.130004883,75,75,22,46,606,2,490.5370145,211.4633471,499.848804,379.0844192
0.159973145,75,75,33,46,602,1,490.5139974,211.4594065,500.4800437,379.6390508
0.179992676,75,75,28,46,599,1,490.4718512,211.5258128,501.5588658,379.8987429
0.210021973,75,75,27,46,599,0,490.4718512,211.5258128,501.5588658,379.8987429
0.239990234,75,75,23,47,594,1,490.4718512,211.5258128,501.5588658,379.8987429
0.270019531,75,75,31,46,588,1,490.4718512,211.5258128,501.5588658,379.8987429
0.289978027,75,75,31,46,588,3,490.6618502,211.6936273,506.1006207,380.8785455
0.320007324,75,75,28,46,586,2,490.6618502,211.6936273,506.1006207,380.8785455
0.349975586,75,75,24,46,584,1,490.6845399,211.6433937,506.6009311,381.1941882
0.369995117,75,75,34,47,581,1,490.6845399,211.6433937,506.6009311,381.1941882
0.400024414,75,75,24,45,579,1,490.6845399,211.6433937,506.6009311,381.1941882
0.429992676,75,75,27,46,577,1,490.6845399,211.6433937,506.6009311,381.1941882
0.460021973,75,75,22,46,577,3,490.6845399,211.6433937,506.6009311,381.1941882
0.479980469,75,75,31,46,576,2,490.6845399,211.6433937,506.6009311,381.1941882
0.510009766,75,75,28,46,576,0,490.4647677,211.7573453,507.0212903,381.233728
0.529968262,75,75,26,47,575,3,490.4865176,211.6576204,507.5138505,381.3962152
0.559997559,75,75,24,46,574,3,490.4835046,211.7062495,508.0304232,381.5643901
0.58996582,75,75,35,46,573,3,490.4835046,211.7062495,508.0304232,381.5643901
0.619995117,75,75,26,46,569,1,490.4633954,211.6533715,508.7091452,381.4371965
0.640014648,75,75,27,46,570,4,490.4633954,211.6533715,508.7091452,381.4371965
0.66998291,75,75,21,46,571,2,490.4924481,211.6595673,508.6386076,381.4997091
0.700012207,75,75,31,46,570,3,490.5063381,211.710564,508.0304232,381.5643901
0.719970703,75,75,29,47,572,1,490.5063381,211.710564,508.0304232,381.5643901
0.75,75,75,25,46,570,1,490.4190308,211.7707223,507.9462214,381.5993352
0.779968262,75,75,24,46,569,2,490.4823372,211.6022791,507.8687161,381.6472593
0.809997559,75,75,33,47,570,3,490.4823372,211.6022791,507.8687161,381.6472593
0.83001709,75,75,26,46,567,1,490.3319084,211.5893381,508.8130266,381.6258244
0.859985352,75,75,29,46,568,2,490.3319084,211.5893381,508.8130266,381.6258244
0.890014648,75,75,24,46,569,3,490.3087955,211.5850869,509.5829211,381.7922694
0.909973145,75,75,33,46,567,2,490.2873429,211.7030045,509.7250392,381.8203424
0.940002441,75,75,29,46,566,3,490.3087955,211.5850869,509.8862921,381.9029255
0.969970703,75,75,26,46,567,3,490.3518076,211.6422626,509.6997691,381.8110929
1,75,75,25,46,568,0,490.3518076,211.6422626,509.6997691,381.8110929
1.020019531,75,75,35,48,567,1,490.3319084,211.5893381,509.2609645,381.6459984
1.049987793,75,75,26,46,568,3,490.2410329,211.7489323,509.0398248,381.632647
1.08001709,75,75,28,47,567,2,490.2438372,211.7993089,508.6600029,381.6514449
1.099975586,75,75,22,46,569,2,490.3103498,211.6890162,508.7226456,381.6534815
1.130004883,75,75,30,46,567,2,490.3103498,211.6890162,508.7226456,381.6534815
1.159973145,75,75,28,46,567,3,490.2438372,211.7993089,509.2609645,381.6459984
1.190002441,75,75,21,46,568,3,490.3087955,211.5850869,509.7250392,381.8203424
1.210021973,75,75,24,46,568,2,490.3332525,211.6934721,509.8862921,381.9029255
1.239990234,75,75,30,46,567,2,490.3332525,211.6934721,509.9105646,381.9492119
1.270019531,75,75,25,46,566,1,490.2667545,211.6514013,509.8862921,381.9029255
1.289978027,75,75,25,46,567,6,490.2667545,211.6514013,509.8862921,381.9029255
1.320007324,75,75,23,46,567,3,490.26867,211.7540278,509.6997691,381.8110929
1.349975586,75,75,31,47,567,1,490.26867,211.7540278,509.6997691,381.8110929
1.369995117,75,75,26,46,568,1,490.4061386,211.6666717,509.143479,381.6733864
1.400024414,75,75,22,46,564,2,490.3374248,211.6743077,509.2759747,381.6117727
1.429992676,75,75,33,46,567,3,490.3643741,211.7317115,509.469371,381.6678228
1.460021973,75,75,31,46,569,2,490.3643741,211.7317115,509.469371,381.6678228
1.479980469,75,75,27,46,566,1,490.3814437,211.5780252,509.7403659,381.7860399
1.510009766,75,75,26,46,569,2,490.3795922,211.6079709,509.925982,381.9148597
1.539978027,75,75,33,46,565,2,490.4061386,211.6666717,510.0274887,381.9079344
1.559997559,75,75,31,46,567,0,490.4046422,211.5627196,509.942213,381.9354129
1.58996582,75,75,29,46,566,0,490.4046422,211.5627196,509.942213,381.9354129
1.619995117,75,75,23,45,567,1,490.3814437,211.5780252,509.7905225,381.8521591
1.640014648,75,75,34,46,568,5,490.4027665,211.6123437,509.6041446,381.8114925
1.66998291,75,75,27,46,570,2,490.4027665,211.6123437,509.6041446,381.8114925
1.700012207,75,75,27,46,567,3,490.4027665,211.6123437,509.6041446,381.8114925
1.719970703,75,75,26,46,568,3,490.4027665,211.6123437,509.6041446,381.8114925
1.75,75,75,30,45,570,1,490.4596599,211.6614436,509.6041446,381.8114925
1.779968262,75,75,28,46,566,3,490.4061386,211.6666717,509.7905225,381.8521591
1.809997559,75,75,28,46,570,2,490.3625153,211.6290627,509.9179466,381.8891425
1.83001709,75,75,21,46,567,2,490.3830975,211.6806707,510.0274887,381.9079344
1.859985352,75,75,35,48,568,2,490.3830975,211.6806707,509.942213,381.9354129
1.890014648,75,75,28,46,567,1,490.3830975,211.6806707,509.942213,381.9354129
1.909973145,75,75,27,46,568,4,490.3763855,211.7970713,509.561308,381.8931369
1.940002441,75,75,26,47,564,2,490.3763855,211.7970713,509.561308,381.8931369
1.969970703,75,75,32,45,567,2,490.3763855,211.7970713,509.561308,381.8931369
2,75,75,27,46,569,0,490.3960912,211.7287417,509.4241802,381.9332739
2.020019531,75,75,29,46,566,4,490.3960912,211.7287417,509.4241802,381.9332739
2.049987793,75,75,23,46,567,2,490.39942,211.7830826,509.4504612,381.9277834
2.08001709,75,75,34,47,568,2,490.3307512,211.7906812,509.561308,381.8931369
2.099975586,75,75,27,46,568,1,490.3327351,211.8934063,509.7476819,381.9849717
2.130004883,75,75,26,46,567,3,490.3576376,211.8481119,509.7880858,382.0517895
2.159973145,75,75,26,46,567,1,490.3576376,211.8481119,509.7880858,382.0517895
2.190002441,75,75,32,45,568,3,490.3307512,211.7906812,509.8732952,382.0243508
2.210021973,75,75,27,46,569,1,490.4519949,211.6733743,509.7476819,381.9849717
2.239990234,75,75,28,46,567,1,490.3484621,211.8495524,509.636616,381.9685059
2.270019531,75,75,21,46,569,3,490.4409562,211.7363191,509.4504612,381.9277834
2.289978027,75,75,35,48,566,4,490.4409562,211.7363191,509.4504612,381.9277834
2.320007324,75,75,26,46,569,3,490.3979169,211.8950795,509.4504612,381.9277834
2.349975586,75,75,27,46,568,1,490.4211192,211.6833673,509.5391666,381.9131378
